Disease,County,Year,MALE,FEMALE
Amebiasis,MONTEREY,2005,3,3
Amebiasis,MONTEREY,2006,4,0
Amebiasis,MONTEREY,2007,1,0
Amebiasis,MONTEREY,2008,0,2
Amebiasis,MONTEREY,2009,2,0
Amebiasis,MONTEREY,2010,0,0
Amebiasis,MONTEREY,2011,0,2
Amebiasis,MONTEREY,2012,1,0
Amebiasis,MONTEREY,2013,0,0
Amebiasis,MONTEREY,2014,3,1
Amebiasis,MONTEREY,2015,4,1
Amebiasis,MONTEREY,2016,4,6
Amebiasis,MONTEREY,2017,5,2
Amebiasis,MONTEREY,2018,8,1
Amebiasis,NAPA,2001,5,1
Amebiasis,NAPA,2002,1,0
Amebiasis,NAPA,2003,3,0
Amebiasis,NAPA,2004,0,0
Amebiasis,NAPA,2005,0,0
Amebiasis,NAPA,2006,0,2
Amebiasis,NAPA,2007,1,0
Amebiasis,NAPA,2008,0,0
Amebiasis,NAPA,2009,0,0
Amebiasis,NAPA,2010,0,0
Amebiasis,NAPA,2011,0,0
Amebiasis,NAPA,2012,0,0
Amebiasis,NAPA,2013,1,1
Amebiasis,NAPA,2014,0,1
Amebiasis,NAPA,2015,1,2
Amebiasis,NAPA,2016,0,0
Amebiasis,NAPA,2017,0,0
Amebiasis,NAPA,2018,6,2
Amebiasis,NEVADA,2001,0,0
Amebiasis,NEVADA,2002,0,0
Amebiasis,NEVADA,2003,0,0
Amebiasis,NEVADA,2004,0,0
Amebiasis,NEVADA,2005,,
Amebiasis,NEVADA,2006,,
Amebiasis,NEVADA,2007,0,0
Amebiasis,NEVADA,2008,,
Amebiasis,NEVADA,2009,,
Amebiasis,NEVADA,2010,,
Amebiasis,NEVADA,2011,,
Amebiasis,NEVADA,2012,,
Amebiasis,NEVADA,2013,0,0
Amebiasis,NEVADA,2014,0,0
Amebiasis,NEVADA,2015,,
Amebiasis,NEVADA,2016,,
Amebiasis,NEVADA,2017,,
Amebiasis,NEVADA,2018,,
Amebiasis,ORANGE,2001,13,10
Amebiasis,ORANGE,2002,9,7
Amebiasis,ORANGE,2003,9,3
Amebiasis,ORANGE,2004,12,5
